iter	RMSE
0	508233431.2
1	507091746.7
2	506342061.3
3	505452608.1
4	504765599.9
5	504021558.2
6	503388045.6
7	502513892.6
8	501511313.9
9	499701579.6
10	499120715
11	498162591.4
12	497698334.2
13	496912913.3
14	495960644.2
15	495409181.2
16	494687623.4
17	493564287.5
18	492416051.9
19	491010803.1
20	489752809.2
21	488985901.5
22	488510652.9
23	487980376.9
24	487238943.2
25	485884994.1
26	485194892.2
27	484201248.3
28	483380571.5
29	482792779.5
30	481555502.2
31	480729636.5
32	480240915.5
33	479454631.7
34	478694208.4
35	478139670.3
36	477666221.4
37	476764925.5
38	475960522.2
39	474840329.7
40	474285591.4
41	473737861
42	473319425.5
43	472686544.2
44	472217801
45	471320087.4
46	470501913.7
47	469829952.1
48	469364682.4
49	468922917.8
50	468394328.8
51	468077777
52	467916769.1
53	467379997.4
54	466554981.9
55	466029794.7
56	465411261.5
57	464472476.6
58	463731155.1
59	462978091.5
60	462303739.4
61	461585425.6
62	460719431.1
63	459610832.2
64	458381740.3
65	457732073.8
66	457256937.7
67	456490132.8
68	455512255.9
69	455319206.4
70	455131255.3
71	454891483.6
72	454523951.9
73	453537865.9
74	452942893.4
75	452398829.6
76	451706157.8
77	450903224.7
78	450054110
79	449409103.2
80	448993007.8
81	448515301.4
82	447992574.5
83	447802176.4
84	447645077.5
85	447365538.9
86	446873825.5
87	446142811.9
88	445568642.8
89	445110652.2
90	444690568.3
91	443456189.9
92	443213859.4
93	443062962.8
94	442844149.9
95	442327967.4
96	441999570.9
97	441624815.3
98	441570879.3
99	440764893.8
100	440124810.3
101	439418545.6
102	438658317.2
103	438499843.9
104	437750575.2
105	437010422.5
106	436088573.9
107	435821267.5
108	435462298.3
109	435221060
110	434811196
111	434501822.4
112	433968475.8
113	433411794
114	433044046.1
115	432691775.4
116	432445514
117	432009446.8
118	431384254.8
119	431113924.3
120	430612844.7
121	430380843.7
122	429515411.6
123	429164674.3
124	428807816.1
125	428047694.8
126	427629767
127	427439813.8
128	427179941.8
129	426939599.1
130	426557388.2
131	425722429.1
132	425384535.6
133	425212074.6
134	425092292.3
135	424727403.9
136	423803340.2
137	423325357.1
138	423137546.3
139	422548142.2
140	422312005.3
141	422072541
142	421355745.5
143	421198379.9
144	420578336.3
145	420082023.4
146	419588581.9
147	419341625.9
148	419132986.4
149	418505341.8
150	418177901.6
151	417287666.4
152	417145440.8
153	416860228
154	415840223
155	415267407.3
156	415172268.9
157	414755460.8
158	414049082.2
159	413577797.7
160	412209720.6
161	411767254
162	411475922.5
163	410393301
164	410215179.8
165	409722980.6
166	408857587.1
167	408592444.5
168	408000345
169	406652943
170	406206308.8
171	405488391.6
172	405133091.7
173	405023333.6
174	404840849.4
175	404690240.6
176	404502464.5
177	404406014.3
178	403663225.8
179	403575924.2
180	403377028.4
181	402986776.8
182	402625097.5
183	401793098.8
184	401774349.4
185	401393997.8
186	401178371.8
187	400511896.9
188	400368897.8
